,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,renovated_yrs_ago,log_price
0,221900,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,60,1340,5650,46,46,3.0,3.0,71524,60,12.309982108920686
1,538000,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,64,1690,7639,64,50,3.0,3.0,56208,24,13.195613839143922
2,180000,2,1.0,770,10000,1.0,0,0,3,6,770,0,82,2720,8062,19,26,3.0,3.0,96863,82,12.100712129872349
9,662500,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,50,2210,8925,46,40,3.0,3.0,72383,50,13.403775836842515
10,468000,2,1.0,1160,6000,1.0,0,0,4,7,860,300,73,1330,6000,72,48,2.0,2.0,103917,73,13.056223574899786
12,530000,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,115,1360,4850,83,51,2.0,2.0,79681,115,13.180632285528304
13,650000,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,36,2140,4000,65,55,1.0,1.0,67277,36,13.38472764187182
14,485000,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,99,1610,4300,34,54,3.0,3.0,65625,99,13.09190416991962
17,385000,4,1.75,1620,4980,1.0,0,0,4,7,860,760,68,1400,4980,82,58,3.0,3.0,56744,68,12.86099861326992
21,937000,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,100,1760,3573,94,63,2.0,2.0,98750,100,13.75043856122056
22,667000,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,106,1860,3861,95,77,3.0,3.0,63419,106,13.41054532489776
23,438000,3,1.75,1520,6380,1.0,0,0,3,7,790,730,67,1520,6235,71,51,2.0,2.0,85759,67,12.989974189358584
26,280000,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,10,1390,1756,53,49,2.0,2.0,32472,10,12.542544882151384
27,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,86,1460,5000,72,51,2.0,2.0,90789,86,13.440817108522866
28,535000,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,86,1570,5080,86,56,2.0,2.0,90789,86,13.190022025878145
30,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,85,1590,3264,76,56,2.0,2.0,91458,13,13.453104939316555
32,640000,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,111,1730,4700,74,55,1.0,1.0,97500,111,13.369223455335856
35,685000,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,93,1580,2640,88,63,2.0,2.0,87667,93,13.437174117244362
38,450000,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,62,970,5100,64,56,2.0,2.0,101413,62,13.017002861746507
40,600000,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,65,1410,4080,75,49,2.0,2.0,101397,65,13.304684934198285
41,585000,2,1.75,1980,8550,1.0,0,0,3,7,990,990,34,1480,6738,75,52,2.0,2.0,72428,34,13.279367126213991
42,885000,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,20,1950,5000,74,61,1.0,1.0,132917,20,13.693342923990064
46,549000,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,1,1580,3090,92,57,3.0,3.0,65172,1,13.215853720491667
47,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,90,1440,4000,75,72,2.0,2.0,66458,90,12.668626720622466
51,571000,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,99,1510,7807,59,55,2.0,2.0,87222,99,13.255144488638143
55,480000,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,74,890,5060,82,49,1.0,1.0,106319,74,13.081541382884073
56,410000,3,1.0,1410,5060,1.0,0,0,4,7,910,500,59,1130,5693,72,60,3.0,3.0,60131,59,12.923912438680489
58,355000,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,67,1720,6720,69,55,3.0,3.0,60682,67,12.779873068457553
59,940000,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,90,2020,4800,84,60,1.0,1.0,100172,90,13.753635154246187
63,1099880,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,14,2520,6250,60,44,1.0,1.0,66563,14,13.910711640908664
65,430000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,76,1570,4500,82,51,2.0,2.0,101397,76,12.971540487669744
66,700000,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,76,1570,4500,82,51,2.0,2.0,101397,76,13.458835614025542
