,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,log_price
0,221900,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,1340,5650,46,46,B,C,71524,12.309982108920686
1,538000,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,1690,7639,64,50,B,C,56208,13.195613839143922
2,180000,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,2720,8062,19,26,B,C,96863,12.100712129872347
10,662500,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,98007,2210,8925,46,40,C,C,72383,13.403775836842515
11,468000,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,1330,6000,72,48,A,B,103917,13.056223574899784
14,530000,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,1360,4850,83,51,B,B,79681,13.180632285528304
15,650000,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,98126,2140,4000,65,55,A,A,67277,13.38472764187182
17,485000,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,1610,4300,34,54,B,C,65625,13.091904169919621
20,385000,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,98133,1400,4980,82,58,C,C,56744,12.86099861326992
26,937000,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,98119,1760,3573,94,63,A,B,98750,13.750438561220559
27,667000,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,1860,3861,95,77,C,C,63419,13.410545324897761
28,438000,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,1520,6235,71,51,A,B,85759,12.989974189358584
31,280000,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,1390,1756,53,49,B,B,32472,12.542544882151386
32,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,1460,5000,72,51,A,B,90789,13.440817108522863
33,535000,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,1570,5080,86,56,B,B,90789,13.190022025878143
35,696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,1590,3264,76,56,B,B,91458,13.453104939316557
37,640000,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,98107,1730,4700,74,55,B,A,97500,13.369223455335854
43,685000,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,98119,1580,2640,88,63,A,B,87667,13.437174117244362
48,450000,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,970,5100,64,56,B,B,101413,13.017002861746503
52,600000,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,98117,1410,4080,75,49,A,B,101397,13.304684934198283
53,585000,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,98117,1480,6738,75,52,B,B,72428,13.279367126213993
55,885000,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,98105,1950,5000,74,61,A,A,132917,13.693342923990066
63,549000,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,98115,1580,3090,92,57,B,C,65172,13.215853720491667
65,317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,1440,4000,75,72,B,B,66458,12.668626720622465
72,571000,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,1510,7807,59,55,B,B,87222,13.255144488638146
77,480000,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,98116,890,5060,82,49,B,A,106319,13.081541382884074
78,410000,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,1130,5693,72,60,D,C,60131,12.92391243868049
82,355000,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,1720,6720,69,55,B,C,60682,12.779873068457553
85,940000,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,98119,2020,4800,84,60,A,A,100172,13.753635154246187
