Formatted Addresses
"6101 S Cooper St, Seattle, WA 98118, USA"
"860 NE 127th St, Seattle, WA 98125, USA"
"15098 81st Ave NE, Kenmore, WA 98028, USA"
"9247 Fauntleroy Way SW, Seattle, WA 98136, USA"
"757 222nd Pl NE, Sammamish, WA 98074, USA"
"25005 NE Patterson Way, Redmond, WA 98053, USA"
"505 S 325th St, Federal Way, WA 98003, USA"
"21413 15th Ave S, Des Moines, WA 98198, USA"
"209 SW 102nd St, Seattle, WA 98146, USA"
"26019 232nd Pl SE, Maple Valley, WA 98038, USA"
"1008 145th Pl SE, Bellevue, WA 98007, USA"
"3435 NE 85th St, Seattle, WA 98115, USA"
"17617 83rd Pl NE, Kenmore, WA 98028, USA"
"305 221st Ave NE, Sammamish, WA 98074, USA"
"2814 NW 56th St, Seattle, WA 98107, USA"
"3608 33rd Ave SW, Seattle, WA 98126, USA"
"14028 282nd Ln NE, Duvall, WA 98019, USA"
"1211 N 50th St, Seattle, WA 98103, USA"
"25 Pike St NE, Auburn, WA 98002, USA"
"2202 S 300th St, Federal Way, WA 98003, USA"
"10037 Interlake Ave N, Seattle, WA 98133, USA"
"8134 SE 83rd St, Mercer Island, WA 98040, USA"
"12813 SE 307th Pl, Auburn, WA 98092, USA"
"13107 SE 277th Pl, Kent, WA 98030, USA"
"12724 SE 254th Ct, Kent, WA 98030, USA"
"227 I St SE, Auburn, WA 98002, USA"
"2215 2nd Ave W, Seattle, WA 98119, USA"
"1414 E Harrison St, Seattle, WA 98112, USA"
"9109 23rd Ave NE, Seattle, WA 98115, USA"
"17260 NE 119th Way, Redmond, WA 98052, USA"
"2190 NW Coyote Creek Ln, Issaquah, WA 98027, USA"
"13437 Greenwood Ave N, Seattle, WA 98133, USA"
"7318 9th Ave NW, Seattle, WA 98117, USA"
"1414 NW 83rd St, Seattle, WA 98117, USA"
"19416 138th Ave SE, Renton, WA 98058, USA"
"1617 NE 75th St, Seattle, WA 98115, USA"
"15608 NE 62nd Ct, Redmond, WA 98052, USA"
"5601 4th Ave NW, Seattle, WA 98107, USA"
"29903 43rd Ave S, Auburn, WA 98001, USA"
"8113 120th Pl SE, Newcastle, WA 98056, USA"
"544 235th Ave NE, Sammamish, WA 98074, USA"
"801 Marine View Dr SW, Normandy Park, WA 98166, USA"
"24187 NE 98th Pl, Redmond, WA 98053, USA"
"2458 5th Ave W, Seattle, WA 98119, USA"
"17240 125th Ave SE, Renton, WA 98058, USA"
"16018 270th Pl NE, Duvall, WA 98019, USA"
"2905 29th Ave SW, Federal Way, WA 98023, USA"
"1010 141st Pl NE, Bellevue, WA 98007, USA"
"7002 24th Ave NE, Seattle, WA 98115, USA"
"22315 91st Pl SW, Vashon, WA 98070, USA"
"19626 10th Ave S, Des Moines, WA 98148, USA"
"663 Blaine Ave NE, Renton, WA 98056, USA"
"7042 22nd Ave NW, Seattle, WA 98117, USA"
"9530 9th Ave NW, Seattle, WA 98117, USA"
"3872 43rd Ave NE, Seattle, WA 98105, USA"
"3507 NE 43rd St, Seattle, WA 98105, USA"
"17100 SE 263rd St, Covington, WA 98042, USA"
"16422 SE 263rd St, Covington, WA 98042, USA"
"2607 SE 26th St, Bellevue, WA 98008, USA"
"1508 Ilwaco Ave NE, Renton, WA 98059, USA"
"200 SW 189th Pl, Normandy Park, WA 98166, USA"
"18443 Occidental Ave S, Burien, WA 98148, USA"
"17626 7th Pl SW, Seattle, WA 98166, USA"
"800 NE 66th St, Seattle, WA 98115, USA"
"937 Martin Luther King Jr Way, Seattle, WA 98122, USA"
"3226 22nd Ave S, Seattle, WA 98144, USA"
"3238 112th Ave SE, Bellevue, WA 98004, USA"
"29542 63rd Ct S, Auburn, WA 98001, USA"
"17419 SE 267th Pl, Covington, WA 98042, USA"
"2203 94th Ave NE, Clyde Hill, WA 98004, USA"
"13401 NE 50th St, Bellevue, WA 98005, USA"
"12123 NE 149th St, Kirkland, WA 98034, USA"
"12044 38th Ave NE, Seattle, WA 98125, USA"
"22843 SE 268th Pl, Maple Valley, WA 98038, USA"
"19940 SE 277th St, Kent, WA 98042, USA"
"2901 266th Ave SE, Issaquah, WA 98075, USA"
"16213 SE 7th St, Bellevue, WA 98008, USA"
"4442 49th Ave SW, Seattle, WA 98116, USA"
"10702 Interlake Ave N, Seattle, WA 98133, USA"
"28836 237th Pl SE, Black Diamond, WA 98010, USA"
"27980 Maple Ridge Way SE, Maple Valley, WA 98038, USA"
"28154 233rd Ave SE, Maple Valley, WA 98038, USA"
"6019 32nd Ave S, Seattle, WA 98118, USA"
"144th Ave SE & SE 136th St, East Renton Highlands, WA 98059, USA"
"411 Benedum Drive, Seattle, WA 98125, United States"
"1600 6th Ave W, Seattle, WA 98119, USA"
"1949 Fir St SE, Auburn, WA 98092, USA"
"3426 Garden Ave N, Renton, WA 98056, USA"
"2908 Kennewick Pl NE, Renton, WA 98056, USA"
"1998, 7114 California Ave SW, Seattle, WA 98136, United States"
"3003 SW 349th Pl, Federal Way, WA 98023, USA"
"3480 27th Ave W, Seattle, WA 98199, USA"
"31218 12th Ave SW, Federal Way, WA 98023, USA"
"8001 23rd Ave NW, Seattle, WA 98117, USA"
"8001 23rd Ave NW, Seattle, WA 98117, USA"
"2707 64th Ave SE, Mercer Island, WA 98040, USA"
"4404 44 Pl S Pvt, Kent, WA 98032, USA"
"33228 37th Ave SW, Federal Way, WA 98023, USA"
"29008 SE 216th Way, Maple Valley, WA 98038, USA"
"12711 470th Ave SE, North Bend, WA 98045, USA"
"2501 Everett Ave E, Seattle, WA 98102, USA"
"1113 NW 67th St, Seattle, WA 98117, USA"
"20175 194th Ave NE, Woodinville, WA 98077, USA"
"3150 108th Ave SE, Bellevue, WA 98004, USA"
"11649 SE 184th St, Renton, WA 98058, USA"
"17648 156th Ave SE, Renton, WA 98058, USA"
"8023 18th Ave NW, Seattle, WA 98117, USA"
"24605 9th Ave S, Des Moines, WA 98198, USA"
"19207 NE 143rd Pl, Woodinville, WA 98077, USA"
"3522 173rd Ct NE, Redmond, WA 98052, USA"
"908 10th Ave NW, Issaquah, WA 98027, USA"
"711 N 74th St, Seattle, WA 98103, USA"
"23225 SE 267th Pl, Maple Valley, WA 98038, USA"
"Chief Sealth Trail, Seattle, WA 98108, USA"
"1131 R St NW, Auburn, WA 98001, USA"
"9520 9th Ave NW, Seattle, WA 98117, USA"
"767 N 74th St, Seattle, WA 98103, USA"
"11447 69th Pl S, Seattle, WA 98178, USA"
"11841 24th Ave S, Seattle, WA 98168, USA"
"2976 S Grand St, Seattle, WA 98144, USA"
"2304 NW 197th St, Shoreline, WA 98177, USA"
"8617 NE 142nd St, Kirkland, WA 98034, USA"
"9712 7th Ave NW, Seattle, WA 98117, USA"
