,index,GEO.id2,HC02_EST_VC02
0,0,53033000100,44951
1,1,53033000200,56208
2,2,53033000300,64297
3,3,53033000401,32472
4,4,53033000402,62726
5,5,53033000500,125400
6,6,53033000600,60131
7,7,53033000700,51741
8,8,53033000800,87222
9,9,53033000900,125109
10,10,53033001000,69643
11,11,53033001100,64549
12,12,53033001200,31863
13,13,53033001300,56744
14,14,53033001400,72428
15,15,53033001500,95927
16,16,53033001600,96193
17,17,53033001701,65188
18,18,53033001702,62786
19,19,53033001800,87159
20,20,53033001900,61391
21,21,53033002000,80400
22,22,53033002100,85759
23,23,53033002200,132981
24,24,53033002400,103917
25,25,53033002500,101413
26,26,53033002600,91458
27,27,53033002700,111661
28,28,53033002800,90568
29,29,53033002900,103750
30,30,53033003000,90789
31,31,53033003100,101397
32,32,53033003200,79681
33,33,53033003300,85595
34,34,53033003400,97500
35,35,53033003500,81563
36,36,53033003600,65172
37,37,53033003800,96310
38,38,53033003900,110458
39,39,53033004000,75714
40,40,53033004100,132917
41,41,53033004200,110091
42,42,53033004301,64797
43,43,53033004302,18908
44,44,53033004400,50500
45,45,53033004500,88914
46,46,53033004600,113906
47,47,53033004700,72396
48,48,53033004800,93155
49,49,53033004900,71809
50,50,53033005000,65625
51,51,53033005100,99083
52,52,53033005200,38487
53,53,53033005301,12269
54,55,53033005400,84728
55,56,53033005600,157292
56,57,53033005700,90951
57,58,53033005801,66563
58,59,53033005802,62639
59,60,53033005900,87667
60,61,53033006000,96538
61,62,53033006100,76980
62,63,53033006200,131429
63,64,53033006300,132000
64,65,53033006400,154868
65,66,53033006500,98617
66,67,53033006600,82154
67,68,53033006700,88719
68,69,53033006800,98750
69,70,53033006900,100172
70,71,53033007000,67572
71,72,53033007100,74143
72,73,53033007200,74559
73,74,53033007300,76582
74,75,53033007401,67834
75,76,53033007402,41842
76,77,53033007500,63419
77,78,53033007600,68199
78,79,53033007700,104632
79,80,53033007800,137358
80,81,53033007900,57786
81,82,53033008001,88068
82,83,53033008002,37466
83,84,53033008100,75531
84,85,53033008200,56318
85,86,53033008300,49291
86,87,53033008400,42339
87,88,53033008500,29883
88,89,53033008600,43375
89,90,53033008700,56700
90,91,53033008800,76524
91,92,53033008900,79953
92,93,53033009000,44571
93,94,53033009100,29464
94,95,53033009200,25625
95,96,53033009300,70458
96,97,53033009400,47737
97,98,53033009500,81676
98,99,53033009600,77808
99,100,53033009701,82333
100,101,53033009702,106319
101,102,53033009800,71705
102,103,53033009900,67277
103,104,53033010001,51316
104,105,53033010002,66458
105,106,53033010100,59275
106,107,53033010200,84324
107,108,53033010300,57750
108,109,53033010401,60682
109,110,53033010402,79432
110,111,53033010500,66794
111,112,53033010600,90208
112,113,53033010701,55504
113,114,53033010702,48036
114,115,53033010800,74107
115,116,53033010900,42159
116,117,53033011001,29286
117,118,53033011002,47604
118,119,53033011101,52412
119,120,53033011102,61901
120,121,53033011200,35425
121,122,53033011300,47363
122,123,53033011401,54622
123,124,53033011402,47701
124,125,53033011500,75123
125,126,53033011600,102500
126,127,53033011700,60917
127,128,53033011800,38846
128,129,53033011900,71524
129,130,53033012000,83421
130,131,53033012100,110060
131,132,53033020100,93235
132,133,53033020200,72028
133,134,53033020300,58182
134,135,53033020401,61330
135,136,53033020402,71758
136,137,53033020500,66786
137,138,53033020600,72500
138,139,53033020700,56141
139,140,53033020800,82344
140,141,53033020900,63819
141,142,53033021000,74048
142,143,53033021100,70137
143,144,53033021300,67438
144,145,53033021400,99861
145,146,53033021500,108750
146,147,53033021600,96066
147,148,53033021700,73456
148,149,53033021802,87922
149,150,53033021803,74856
150,151,53033021804,72422
151,152,53033021903,71417
152,153,53033021904,89615
153,154,53033021905,92614
154,155,53033021906,81250
155,156,53033022001,70591
156,157,53033022003,75662
157,158,53033022005,90900
158,159,53033022006,81056
159,160,53033022101,100168
160,161,53033022102,96863
161,162,53033022201,78409
