GEO.id2,HC02_EST_VC02
53033000100,44951
53033000200,56208
53033000300,64297
53033000401,32472
53033000402,62726
53033000500,125400
53033000600,60131
53033000700,51741
53033000800,87222
53033000900,125109
53033001000,69643
53033001100,64549
53033001200,31863
53033001300,56744
53033001400,72428
53033001500,95927
53033001600,96193
53033001701,65188
53033001702,62786
53033001800,87159
53033001900,61391
53033002000,80400
53033002100,85759
53033002200,132981
53033002400,103917
53033002500,101413
53033002600,91458
53033002700,111661
53033002800,90568
53033002900,103750
53033003000,90789
53033003100,101397
53033003200,79681
53033003300,85595
53033003400,97500
53033003500,81563
53033003600,65172
53033003800,96310
53033003900,110458
53033004000,75714
53033004100,132917
53033004200,110091
53033004301,64797
53033004302,18908
53033004400,50500
53033004500,88914
53033004600,113906
53033004700,72396
53033004800,93155
53033004900,71809
53033005000,65625
53033005100,99083
53033005200,38487
53033005301,12269
53033005302,(X)
53033005400,84728
53033005600,157292
53033005700,90951
53033005801,66563
53033005802,62639
53033005900,87667
53033006000,96538
53033006100,76980
53033006200,131429
53033006300,132000
53033006400,154868
53033006500,98617
53033006600,82154
53033006700,88719
53033006800,98750
53033006900,100172
53033007000,67572
53033007100,74143
53033007200,74559
53033007300,76582
53033007401,67834
53033007402,41842
53033007500,63419
53033007600,68199
53033007700,104632
53033007800,137358
53033007900,57786
53033008001,88068
53033008002,37466
53033008100,75531
53033008200,56318
53033008300,49291
53033008400,42339
53033008500,29883
53033008600,43375
53033008700,56700
53033008800,76524
53033008900,79953
53033009000,44571
53033009100,29464
53033009200,25625
53033009300,70458
53033009400,47737
53033009500,81676
53033009600,77808
53033009701,82333
53033009702,106319
53033009800,71705
53033009900,67277
53033010001,51316
53033010002,66458
53033010100,59275
53033010200,84324
53033010300,57750
53033010401,60682
53033010402,79432
53033010500,66794
53033010600,90208
53033010701,55504
53033010702,48036
53033010800,74107
53033010900,42159
53033011001,29286
53033011002,47604
53033011101,52412
53033011102,61901
53033011200,35425
53033011300,47363
53033011401,54622
53033011402,47701
53033011500,75123
53033011600,102500
53033011700,60917
53033011800,38846
53033011900,71524
53033012000,83421
53033012100,110060
53033020100,93235
53033020200,72028
53033020300,58182
53033020401,61330
53033020402,71758
53033020500,66786
53033020600,72500
53033020700,56141
53033020800,82344
53033020900,63819
53033021000,74048
53033021100,70137
53033021300,67438
53033021400,99861
53033021500,108750
53033021600,96066
53033021700,73456
53033021802,87922
53033021803,74856
53033021804,72422
53033021903,71417
53033021904,89615
53033021905,92614
53033021906,81250
53033022001,70591
53033022003,75662
53033022005,90900
53033022006,81056
53033022101,100168
53033022102,96863
53033022201,78409
53033022202,82009
53033022203,121759
53033022300,113958
53033022400,111754
53033022500,100584
53033022603,104382
53033022604,94222
53033022605,68636
53033022606,104072
53033022701,103292
53033022702,123221
53033022703,101250
53033022801,88160
53033022802,101184
53033022803,96908
53033022901,123000
53033022902,120731
53033023000,104013
53033023100,92283
53033023201,78119
53033023202,46719
53033023300,76500
53033023401,71269
53033023403,93387
53033023404,146875
53033023500,110568
53033023601,78155
53033023603,87236
53033023604,72383
53033023700,96268
53033023801,97674
53033023803,96975
53033023804,89479
53033023900,117308
53033024000,107479
53033024100,189231
53033024200,175625
53033024300,103178
53033024400,69583
53033024500,167361
53033024601,175132
53033024602,195156
53033024701,83712
53033024702,106941
53033024800,68042
53033024901,135625
53033024902,102616
53033024903,152458
53033025001,110114
53033025003,126089
53033025005,103229
53033025006,148750
53033025101,81676
53033025102,104469
53033025200,75109
53033025301,77278
53033025302,34471
53033025400,47773
53033025500,57246
53033025601,60833
53033025602,105446
53033025701,47219
53033025702,85758
53033025803,50750
53033025804,71225
53033025805,58309
53033025806,77821
53033026001,73750
53033026002,51154
53033026100,46826
53033026200,46535
53033026300,55110
53033026400,43487
53033026500,29107
53033026600,63799
53033026700,65660
53033026801,36505
53033026802,41875
53033027000,59417
53033027100,46250
53033027200,50083
53033027300,49023
53033027400,60536
53033027500,56406
53033027600,51944
53033027701,64007
53033027702,81757
53033027800,89185
53033027900,52425
53033028000,44127
53033028100,45845
53033028200,41386
53033028300,78915
53033028402,39756
53033028403,31356
53033028500,47560
53033028600,88574
53033028700,73841
53033028801,60948
53033028802,40590
53033028901,67500
53033028902,41000
53033029001,58641
53033029003,55747
53033029004,31783
53033029101,74228
53033029102,65174
53033029203,33704
53033029204,59591
53033029205,61304
53033029206,29623
53033029303,67727
53033029304,92829
53033029305,76755
53033029306,71029
53033029307,94375
53033029403,70114
53033029405,83750
53033029406,89792
53033029407,46627
53033029408,41651
53033029502,76295
53033029503,33092
53033029504,45329
53033029601,72635
53033029602,96964
53033029700,40513
53033029801,62788
53033029802,74350
53033029901,68609
53033029902,84816
53033030003,61250
53033030004,42439
53033030005,48942
53033030006,27635
53033030100,81458
53033030201,51837
53033030202,50226
53033030304,86198
53033030305,71311
53033030306,94677
53033030308,57565
53033030309,61973
53033030310,62237
53033030311,71659
53033030312,54413
53033030313,40208
53033030314,44918
53033030401,73497
53033030403,73917
53033030404,68616
53033030501,22775
53033030503,42900
53033030504,50396
53033030600,53188
53033030700,41492
53033030801,34351
53033030802,52317
53033030901,60893
53033030902,54315
53033031000,104500
53033031100,51058
53033031202,76932
53033031204,89375
53033031205,71083
53033031206,65809
53033031301,74632
53033031302,48385
53033031400,55398
53033031501,83667
53033031502,74306
53033031601,99730
53033031603,82067
53033031604,102202
53033031605,91071
53033031703,84408
53033031704,82277
53033031705,107311
53033031706,74239
53033031800,106875
53033031903,87014
53033031904,84088
53033031906,107299
53033031907,99038
53033031908,61827
53033031909,108265
53033032002,91063
53033032003,83750
53033032005,87350
53033032006,85323
53033032007,90703
53033032008,88375
53033032010,96857
53033032011,106957
53033032102,98750
53033032103,64474
53033032104,82456
53033032203,125636
53033032207,142470
53033032208,77226
53033032210,116732
53033032211,117250
53033032212,126146
53033032213,143585
53033032214,156481
53033032215,190900
53033032307,121402
53033032309,109469
53033032311,149087
53033032313,96573
53033032315,131992
53033032316,164599
53033032317,138854
53033032318,153098
53033032319,68370
53033032320,149519
53033032321,199542
53033032322,147750
53033032323,119773
53033032324,86600
53033032325,107727
53033032326,138917
53033032327,101563
53033032328,112917
53033032329,136616
53033032401,92500
53033032402,106824
53033032500,95309
53033032601,84583
53033032602,132072
53033032702,100309
53033032703,77483
53033032704,70471
53033032800,86121
53033990100,-
